[2025-04-10 11:57:12] Connected to Server.
[2025-04-10 11:57:20] Authentication sent to Server.
[2025-04-10 11:57:20] Valid login received from Server.
[2025-04-10 12:05:06] Connected to Server.
[2025-04-10 12:05:17] Authentication sent to Server.
[2025-04-10 12:05:17] Valid login received from Server.
[2025-04-10 12:05:30] PDF header sent to Server.
[2025-04-10 12:05:31] PDF sent to Server.
[2025-04-10 12:06:02] CSV received from Server.
[2025-04-10 12:06:02] CSV saved.
[2025-04-10 12:13:20] Score sent to server.
[2025-04-10 12:13:20] Image size received from Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
[2025-04-10 12:13:20] Received 1024 bytes from the Server.
